GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,MONTH,SEASON,HOW_LONG,TRAVELER_ID,cluster,cluster_name
여,20,1,3,4,2,3,경기도,제주,2인 여행(가족 외),3,1,6,summer,4,h001185,4,느슨하게 떠나는 듀오 무드러
여,30,2,3,1,2,2,서울특별시,제주,자녀 동반 여행,7,3,6,summer,4,h000920,7,패밀리 무드 ON 스탠다드러
여,30,2,11,2,3,1,서울특별시,제주,자녀 동반 여행,1,3,7,summer,3,h001670,7,패밀리 무드 ON 스탠다드러
남,50,2,3,6,10,1,인천광역시,제주,자녀 동반 여행,3,4,6,summer,4,h000512,2,탐험 ON한 듀오 트래블러
여,40,1,1,6,3,2,제주특별자치도,제주,2인 여행(가족 외),7,1,5,spring,3,h000311,4,느슨하게 떠나는 듀오 무드러
여,30,1,3,5,2,6,인천광역시,제주,2인 가족 여행,4,1,7,summer,3,h001906,4,느슨하게 떠나는 듀오 무드러
여,30,1,12,1,6,4,서울특별시,제주,2인 여행(가족 외),3,1,7,summer,3,h002199,6,뉴트럴바이브 듀오 스테이러
여,30,1,3,4,1,2,경기도,제주,나홀로 여행,4,0,5,spring,3,h000168,4,느슨하게 떠나는 듀오 무드러
여,60,2,4,7,2,5,제주특별자치도,제주,나홀로 여행,1,0,7,summer,3,h001878,4,느슨하게 떠나는 듀오 무드러
여,30,1,4,4,3,2,강원도,제주,2인 여행(가족 외),1,1,5,spring,4,h000328,4,느슨하게 떠나는 듀오 무드러
여,20,1,4,4,3,2,제주특별자치도,제주,2인 여행(가족 외),3,1,6,summer,2,h001618,4,느슨하게 떠나는 듀오 무드러
남,30,2,3,6,6,4,경기도,제주,나홀로 여행,1,0,5,spring,3,h000039,4,느슨하게 떠나는 듀오 무드러
여,30,2,11,1,2,4,경상남도,제주,3인 이상 여행(가족 외),1,3,6,summer,5,h000829,7,패밀리 무드 ON 스탠다드러
여,30,1,5,5,1,2,제주특별자치도,제주,나홀로 여행,1,0,5,spring,2,h000057,3,솔로감성 잠깐 리프레시러
남,40,2,11,1,2,4,제주특별자치도,제주,3인 이상 여행(가족 외),1,3,6,summer,1,h000892,1,자연집중 번개여행 패밀리
여,30,1,4,4,3,4,전라북도,제주,부모 동반 여행,7,2,7,summer,3,h002150,4,느슨하게 떠나는 듀오 무드러
여,40,2,2,1,1,1,경기도,제주,자녀 동반 여행,3,2,6,summer,4,h000739,7,패밀리 무드 ON 스탠다드러
여,20,1,3,3,3,1,광주광역시,제주,나홀로 여행,2,0,5,spring,3,h000100,6,뉴트럴바이브 듀오 스테이러
여,40,2,3,4,2,3,인천광역시,제주,자녀 동반 여행,2,3,6,summer,3,h000791,7,패밀리 무드 ON 스탠다드러
남,20,1,12,2,3,1,부산광역시,제주,부모 동반 여행,3,3,7,summer,3,h001151,7,패밀리 무드 ON 스탠다드러
여,50,2,11,1,2,1,경기도,제주,3인 이상 여행(가족 외),6,5,6,summer,4,h000141,0,자연에 진심인 힐링패밀리
여,20,1,2,4,1,4,경기도,제주,부모 동반 여행,2,2,6,summer,3,h001563,4,느슨하게 떠나는 듀오 무드러
남,40,2,2,6,1,2,전라북도,제주,3인 이상 여행(가족 외),9,3,7,summer,5,h001068,5,차분템포 자연수집 패밀리
여,20,1,12,1,1,2,대구광역시,제주,2인 여행(가족 외),2,1,7,summer,4,h001889,6,뉴트럴바이브 듀오 스테이러
여,30,2,13,4,1,2,제주특별자치도,제주,자녀 동반 여행,9,3,5,spring,2,h000068,1,자연집중 번개여행 패밀리
남,20,1,3,3,20,3,대구광역시,제주,2인 가족 여행,1,1,6,summer,3,h000516,2,탐험 ON한 듀오 트래블러
남,40,2,11,4,1,4,경상남도,제주,자녀 동반 여행,2,2,5,spring,4,h000087,7,패밀리 무드 ON 스탠다드러
남,30,1,12,2,4,1,경기도,제주,3인 이상 여행(가족 외),1,2,6,summer,3,h001269,6,뉴트럴바이브 듀오 스테이러
여,30,1,12,2,6,2,서울특별시,제주,2인 여행(가족 외),3,1,7,summer,3,h002178,2,탐험 ON한 듀오 트래블러
여,50,2,4,6,10,4,경기도,제주,3인 이상 여행(가족 외),1,2,6,summer,3,h001171,2,탐험 ON한 듀오 트래블러
여,20,2,3,4,5,2,충청남도,제주,3인 이상 여행(가족 외),2,2,7,summer,4,h002183,2,탐험 ON한 듀오 트래블러
여,40,1,1,4,1,2,서울특별시,제주,2인 가족 여행,6,1,7,summer,4,h001713,4,느슨하게 떠나는 듀오 무드러
남,40,2,2,1,4,3,제주특별자치도,제주,자녀 동반 여행,3,2,6,summer,2,h000522,1,자연집중 번개여행 패밀리
남,50,2,3,5,4,2,경기도,제주,3인 이상 여행(가족 외),3,2,6,summer,7,h001433,7,패밀리 무드 ON 스탠다드러
여,20,1,13,4,1,4,제주특별자치도,제주,2인 여행(가족 외),3,1,7,summer,2,h001393,3,솔로감성 잠깐 리프레시러
여,30,2,2,4,1,3,제주특별자치도,제주,2인 여행(가족 외),1,1,6,summer,3,h000789,4,느슨하게 떠나는 듀오 무드러
남,20,1,12,1,1,1,제주특별자치도,제주,2인 여행(가족 외),7,1,7,summer,2,h001699,6,뉴트럴바이브 듀오 스테이러
여,50,2,11,1,1,2,제주특별자치도,제주,자녀 동반 여행,3,3,6,summer,3,h000537,7,패밀리 무드 ON 스탠다드러
남,20,1,12,1,1,4,충청남도,제주,3인 이상 여행(가족 외),3,3,6,summer,3,h001195,7,패밀리 무드 ON 스탠다드러
여,40,2,1,5,1,5,전라북도,제주,2인 가족 여행,3,1,6,summer,6,h001406,4,느슨하게 떠나는 듀오 무드러
